id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
AR,AR,AR,Arweave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AR.jpeg,active,14.96463378,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,50108502,66000000,749855382,0.0007,42,71,0,2020-02-13T00:00:00Z,2020-06-20T00:00:00Z,2020-02-13T00:00:00Z,70,21,85.87632964,2021-11-04T00:00:00Z,484121835.57,4.92517103,0.4906,434127544.17,8.6835,246792942.61,0.4906,,
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,2.45531833,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,304759323,305483231,748281151,0.0007,158,1121,16,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,71,0,27.15776401,2021-02-12T00:00:00Z,80943174.07,0.090342603,0.0382,4331133.47,0.0565,29789781.82,0.0415,ETH,
KLAY,KLAY,KLAY,Klaytn,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KLAY.jpg,active,0.23940384,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,3086744194,,738978401,0.0007,64,166,68,2019-09-26T00:00:00Z,2020-03-02T00:00:00Z,2020-02-21T00:00:00Z,72,-3,4.22256952,2021-03-30T00:00:00Z,145966341.04,-0.0028584645,-0.0118,-25030059.54,-0.1464,-8757772.04,-0.0117,KLAY,
OSMO,OSMO,OSMO,Osmosis,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OSMO.jpg,active,1.52942129,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,475056515,1000000000,726561549,0.0007,13,185,165,2021-10-11T00:00:00Z,2022-10-28T00:00:00Z,2021-12-22T00:00:00Z,73,0,13.63371841,2022-01-12T00:00:00Z,8353475.77,0.064871871,0.0443,-1477754.96,-0.1503,31620297.67,0.0455,,2021-10-25T15:03:16.738873Z
XEC,XEC,XEC,eCash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XEC.jpg,active,0.000037291960,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,19215742173303,21000000000000,716592693,0.0007,42,78,1,2020-09-24T00:00:00Z,2020-11-15T00:00:00Z,2020-11-15T00:00:00Z,74,-2,0.00033372768,2021-09-04T00:00:00Z,8012653.36,0.00000067656765,0.0185,-2374141.47,-0.2286,13035534.20,0.0185,,2021-07-07T19:15:23.761148Z
IOT,IOT,IOT,IOTA (MIOTA),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.25774721,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,2779530283,2779530283,716416180,0.0007,42,117,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,75,-1,5.37764480,2017-12-19T00:00:00Z,11283623.66,0.0083275332,0.0334,-1089673.02,-0.0881,23146630.75,0.0334,,
GT,GT,GT,Gatechain Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GT.png,active,4.65793075,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,145377817,300000000,677159803,0.0006,24,56,0,2019-04-21T00:00:00Z,2019-04-21T00:00:00Z,2019-06-04T00:00:00Z,76,-1,11.27442896,2021-05-12T00:00:00Z,2103062.41,0.040779689,0.0088,-429564.69,-0.1696,5928462.10,0.0088,ETH,
CAKE,CAKE,CAKE,PancakeSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CAKE.jpg,active,4.64075907,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,145572498,341583656,675566889,0.0006,138,2264,2583,2020-09-22T00:00:00Z,2020-09-22T00:00:00Z,2020-09-29T00:00:00Z,77,-1,42.70272928,2021-04-29T00:00:00Z,48973507.45,0.12169601,0.0269,6329761.49,0.1484,17205779.02,0.0261,BNB,2021-02-02T14:53:17.269368Z
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,0.26286269,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,2541152731,3175000000,667974243,0.0006,160,1334,21788,2018-10-28T00:00:00Z,2018-10-29T00:00:00Z,2019-06-04T00:00:00Z,78,7,3.31086789,2022-01-16T00:00:00Z,1330490170.17,0.042228793,0.1914,984007670.86,2.8400,107309812.32,0.1914,FTM,
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,51.02673674,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,12949513,21000000,660771401,0.0006,196,620,71,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,79,-2,2073.34098259,2016-10-29T00:00:00Z,86062313.34,0.51769203,0.0102,-13872464.04,-0.1388,6875051.67,0.0105,,
ETHW2,ETHW2,ETHW,Ethereum PoW,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ETHW2.jpg,active,6.15868192,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,107025717,,659137349,0.0006,45,62,1,2022-08-07T00:00:00Z,2022-08-09T00:00:00Z,2022-08-07T00:00:00Z,80,-2,116.81045009,2022-08-08T00:00:00Z,109385440.95,0.078965845,0.0130,6896198.27,0.0673,8531981.01,0.0131,,2022-08-26T20:10:25.740625Z
GRT,GRT,GRT,The Graph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GRT.jpg,active,0.088602999,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,7400273157,10000000000,655686396,0.0006,135,306,0,2020-05-23T00:00:00Z,2020-12-17T00:00:00Z,2020-05-23T00:00:00Z,81,-2,2.34091722,2021-02-13T00:00:00Z,189948093.80,0.0074756464,0.0921,115596724.14,1.5547,55321825.23,0.0921,ETH,
GUSD,GUSD,GUSD,Gemini Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/gusd.png,active,1.00184549,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,647249812,647249812,648444306,0.0006,50,132,2,2018-09-14T00:00:00Z,2018-09-14T00:00:00Z,2018-12-04T00:00:00Z,82,0,1.44971453,2019-08-17T00:00:00Z,3296642.92,0.021123996,0.0215,23284.55,0.0071,66464215.78,0.1142,ETH,
EVMOS,EVMOS,EVMOS,Evmos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EVMOS.png,active,1.89745002,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,337950855,1000000000,641244857,0.0006,10,16,0,2022-04-29T00:00:00Z,,2022-04-30T00:00:00Z,83,-2,4.22914661,2022-05-04T00:00:00Z,1900687.55,0.14468169,0.0825,-188332.60,-0.0902,48895299.11,0.0825,,2022-09-20T22:01:25.903038Z
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,8.43381521,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,70530000,100000000,594836986,0.0006,141,467,4,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,84,-1,190.71428792,2018-01-15T00:00:00Z,34764149.73,0.21185085,0.0258,-7870424.45,-0.1846,14941840.51,0.0258,NEO,
BTSE,BTSE,BTSE,BTSE Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTSE.jpg,active,3.65095941,2022-11-03T00:00:00Z,2022-11-03T15:00:00Z,162061501,200000000,591679962,0.0006,7,8,0,2020-03-05T00:00:00Z,2020-06-19T00:00:00Z,2020-03-05T00:00:00Z,85,-5,8.67642712,2022-03-23T00:00:00Z,1008.98,-0.019112697,-0.0052,-1684.81,-0.6254,-3097432.40,-0.0052,ETH,
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH.png,active,30.99211784,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,18436515,18436515,571386656,0.0005,5,41,0,2020-03-25T00:00:00Z,2020-06-27T00:00:00Z,2021-10-27T00:00:00Z,86,-2,96.49385544,2021-11-08T00:00:00Z,4855993.64,0.59600552,0.0196,-2801265.76,-0.3658,10533899.95,0.0188,ETH,
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.png,active,0.022109285,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,25519643156,25519643156,564221061,0.0005,8,83,1,2020-03-25T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,87,0,0.15067265,2020-10-04T00:00:00Z,8988929.14,-0.0000027142900,-0.0001,-7814182.27,-0.4650,5282307.33,0.0095,ETH,
MASK2,MASK2,MASK,Mask Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MASK2.jpg,active,5.60191506,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,100000000,100000000,560191506,0.0005,60,85,1,2021-02-24T00:00:00Z,2021-02-24T00:00:00Z,2021-02-24T00:00:00Z,88,20,24.86668506,2021-04-01T00:00:00Z,2414097122.15,1.61494714,0.4051,626073904.99,0.3501,161494714.13,0.4051,ETH,2021-02-24T17:00:14.14313Z
TIME5,TIME5,TIME,TIME (Wonderland),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TIME5.png,active,10.76708853,2022-11-03T00:00:00Z,2022-11-03T21:19:00Z,51970534,51970826,559571344,0.0005,10,34,6,2021-09-02T00:00:00Z,2021-09-02T00:00:00Z,2021-10-27T00:00:00Z,89,-3,9647.80320479,2021-11-07T00:00:00Z,18916.32,0.00032435950,0.0000,8244.59,0.7726,16857.14,0.0000,AVAX,2021-09-07T18:38:16.040658Z
CRV,CRV,CRV,Curve DAO Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRV2.jpg,active,0.92336132,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,589524013,1846820188,544343674,0.0005,149,520,38,2020-08-12T00:00:00Z,2020-08-12T00:00:00Z,2020-08-14T00:00:00Z,90,0,11.22431014,2020-08-14T00:00:00Z,141279320.66,0.058453671,0.0676,5675093.48,0.0419,34585719.69,0.0678,ETH,
MINA,MINA,MINA,Mina Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MINA.png,active,0.74431650,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,729409699,971626493,542911672,0.0005,40,65,0,2021-04-13T00:00:00Z,2021-04-13T00:00:00Z,2021-04-15T00:00:00Z,91,-2,55.94062409,2021-05-30T00:00:00Z,81856823.10,0.036241001,0.0512,21749243.91,0.3618,27115161.11,0.0526,,2021-04-14T14:25:23.039277Z
NEXO,NEXO,NEXO,Nexo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nexo.png,active,0.96401745,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,560000010,1000000000,539849782,0.0005,65,130,0,2018-05-01T00:00:00Z,2018-05-01T00:00:00Z,2019-03-07T00:00:00Z,92,-4,3.92938755,2021-05-03T00:00:00Z,5377092.29,0.0013610200,0.0014,130323.61,0.0248,762171.21,0.0014,ETH,
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,4.06427106,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,131784243,,535606885,0.0005,33,58,0,2020-04-17T00:00:00Z,2020-09-15T00:00:00Z,2020-04-17T00:00:00Z,93,-1,52.77494953,2021-11-14T00:00:00Z,11070906.55,0.32967070,0.0883,3695507.26,0.5011,43611555.82,0.0886,,
BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.32993455,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1500000000,1500000000,494901832,0.0005,223,742,14,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,94,2,1.75870396,2021-11-27T00:00:00Z,190981575.18,0.025541476,0.0839,-27481433.26,-0.1258,38312214.45,0.0839,ETH,
PAXG,PAXG,PAXG,PAX Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PAXG.png,active,1627.64053915,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,301513,301513,490754129,0.0005,58,147,9,2019-09-10T00:00:00Z,2019-10-01T00:00:00Z,2019-10-18T00:00:00Z,95,-2,2092.91988926,2020-08-06T00:00:00Z,18559744.61,-4.95701350,-0.0030,-275396.48,-0.0146,-825863.94,-0.0017,ETH,
TWT,TWT,TWT,Trust Wallet,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TWT.jpg,active,1.17348277,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,416649900,1000000000,488931480,0.0005,35,54,0,2020-04-27T00:00:00Z,2020-08-19T00:00:00Z,2020-04-27T00:00:00Z,96,-2,1.51989824,2021-09-05T00:00:00Z,14706865.26,0.0038536156,0.0033,-2938347.84,-0.1665,1605608.56,0.0033,BNB,
CUSDT,CUSDT,CUSDT,Compound USDT,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDT.png,active,0.022021294,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,21691221853,21691221853,477668767,0.0005,9,67,0,2020-05-02T00:00:00Z,2020-06-15T00:00:00Z,2020-06-19T00:00:00Z,97,-2,0.022140720,2022-09-23T00:00:00Z,980848.64,-0.000019472634,-0.0009,-3851506.04,-0.7970,-422385.22,-0.0009,ETH,
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,42.19563212,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,10988657,18900000,463673339,0.0004,227,1021,180,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,98,-1,1440.14732408,2017-12-20T00:00:00Z,88745996.73,1.48333969,0.0364,-16126552.36,-0.1538,16354797.19,0.0366,,
ZIL,ZIL,ZIL,Zilliqa,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zil.svg,active,0.030849612,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,15029993004,21000000000,463669449,0.0004,123,446,267,2018-01-25T00:00:00Z,2018-01-25T00:00:00Z,2018-08-29T00:00:00Z,99,-1,0.23706310,2021-04-16T00:00:00Z,145805900.48,0.0013019286,0.0441,-1232965.72,-0.0084,19676332.06,0.0443,ZIL,
RUNE,RUNE,RUNE,THORChain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RUNE.png,active,1.51711012,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,300700561,500000000,456195864,0.0004,51,103,0,2019-07-20T00:00:00Z,2019-07-20T00:00:00Z,2019-07-26T00:00:00Z,100,-1,20.34138097,2021-05-18T00:00:00Z,92889061.47,0.040842263,0.0277,-38625315.14,-0.2937,12281291.43,0.0277,BNB,
