id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.10929378,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,25622443378,50001787555,2800373724,0.0027,209,714,113,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,29,-1,0.89934332,2018-01-03T00:00:00Z,93440930.64,0.0015500637,0.0144,-25015641.71,-0.2112,39716027.58,0.0144,XLM,
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,149.03092733,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,18195933,,2711756766,0.0026,150,595,127,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,30,1,484.65723439,2021-05-09T00:00:00Z,101485102.96,3.00819503,0.0206,-32309678.17,-0.2415,54798244.38,0.0206,,
ALGO,ALGO,ALGO,Algorand,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ALGO.png,active,0.38082975,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,7075290661,10000000000,2694481201,0.0026,127,326,27,2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019-06-19T00:00:00Z,31,1,2.94270647,2019-06-19T00:00:00Z,418682476.01,0.020598838,0.0572,42741755.14,0.1137,145958339.91,0.0573,,
R,R,R,Revain (OLD),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/r.svg,active,0.031857490,2022-11-03T00:00:00Z,2022-11-03T20:52:00Z,84551367444,85056346012,2693594342,0.0026,18,42,0,2018-02-13T00:00:00Z,2018-02-13T00:00:00Z,2019-02-14T00:00:00Z,32,-2,4.23936098,2018-02-17T00:00:00Z,67.63,0.000050908419,0.0016,,,4304376.48,0.0016,ETH,
NEAR,NEAR,NEAR,Near Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/NEAR.jpg,active,3.07678195,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,818414854,1000000000,2518084047,0.0024,97,250,371,2020-09-27T00:00:00Z,2020-10-14T00:00:00Z,2020-09-30T00:00:00Z,33,0,20.26220309,2022-01-14T00:00:00Z,335356728.84,0.18929908,0.0656,7680726.42,0.0234,155776621.50,0.0659,,2020-10-28T18:45:07.594685Z
QNT,QNT,QNT,Quant,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/QNT.jpg,active,158.76459905,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,14544191,14612493,2309102615,0.0022,71,142,1,2018-06-25T00:00:00Z,2018-06-25T00:00:00Z,2019-01-29T00:00:00Z,34,0,395.22043240,2021-09-10T00:00:00Z,77456264.64,2.48151748,0.0159,-10244548.89,-0.1168,36091663.62,0.0159,ETH,
BCH,BCH,BCH,Bitcoin Cash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BCH.png,active,116.39415458,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,19219044,21000000,2236984337,0.0021,315,2596,136,2017-07-09T00:00:00Z,2017-07-27T00:00:00Z,2018-08-29T00:00:00Z,35,0,3717.74302002,2017-12-20T00:00:00Z,1195812212.48,3.06060302,0.0270,-32553714.93,-0.0265,58932363.19,0.0271,,
OP4,OP4,OP,Optimism,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OP4.jpg,active,1.15003776,2022-11-03T00:00:00Z,2022-11-03T21:19:00Z,1662735426,4294967296,1912208530,0.0018,6,58,58,2022-05-31T00:00:00Z,2022-05-31T00:00:00Z,2022-04-26T00:00:00Z,36,1,1.98439639,2022-08-03T00:00:00Z,14812764.89,0.12764414,0.1248,1105665.08,0.0807,212356071.04,0.1249,OPETH,2022-05-31T17:01:50.668487Z
FLOW2,FLOW2,FLOW,Flow,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FLOW2.jpg,active,1.79792525,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1036200000,,1863010146,0.0018,58,98,0,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,37,1,39.15174905,2021-03-04T00:00:00Z,372521167.01,0.16783023,0.1030,284975353.19,3.2552,173905686.42,0.1030,,2021-01-28T14:38:49.921753Z
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,5.87059923,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,313292994,2000000000,1839217609,0.0018,119,434,1,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,38,2,190.86441531,2021-03-31T00:00:00Z,851222092.79,0.65895828,0.1264,577399239.21,2.1087,208954479.71,0.1282,,
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HT.jpg,active,8.75564336,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,204490827,500000000,1790448755,0.0017,90,2880,24578,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,39,-3,34.96155492,2021-05-12T00:00:00Z,70947984.08,0.040195683,0.0046,-16599394.65,-0.1896,8219648.56,0.0046,HT,
